MOSTYPE,MAANTHUI,MGEMOMV,MGEMLEEF,MOSHOOFD,MGODRK,MGODPR,MGODOV,MGODGE,MRELGE,MRELSA,MRELOV,MFALLEEN,MFGEKIND,MFWEKIND,"Education Level(high-3,medium-2,low-1)",MBERHOOG,MBERZELF,MBERBOER,MBERMIDD,MBERARBG,MBERARBO,Social Class,MHHUUR,MHKOOP,Number of car,MZFONDS,MZPART,Expexted Income,MINKGEM,MKOOPKLA,PWAPART,PWABEDR,PWALAND,PPERSAUT,PBESAUT,PMOTSCO,PVRAAUT,PAANHANG,PTRACTOR,PWERKT,PBROM,PLEVEN,PPERSONG,PGEZONG,PWAOREG,PBRAND,PZEILPL,PPLEZIER,PFIETS,PINBOED,PBYSTAND,SUMCONT,AWAPART,AWABEDR,AWALAND,APERSAUT,ABESAUT,AMOTSCO,AVRAAUT,AAANHANG,ATRACTOR,AWERKT,ABROM,ALEVEN,APERSONG,AGEZONG,AWAOREG,ABRAND,AZEILPL,APLEZIER,AFIETS,AINBOED,ABYSTAND,SUMNUM,CARAVAN
10,1,4,3,3,1,4,1,4,7,1,2,0,3,6,2.19,0,0,0,9,0,0,3.57,0,9,1.03,5,4,59.11,8,7,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9,1,3,3,3,1,3,2,4,7,1,2,2,3,5,1.84,4,0,0,5,1,1,3.44,6,3,0.92,4,5,48.05,3,4,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0
33,1,2,3,8,1,4,1,4,6,2,3,3,4,3,1.57,1,1,0,3,2,4,2.61,5,4,0.79,7,2,48.05,3,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
41,1,3,3,10,0,5,0,4,7,1,1,1,4,5,1.8,3,0,1,2,2,2,3.84,5,4,1.16,8,1,46.1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1,1,2,5,0,6,1,2,1,2,6,5,3,1,2.06,1,0,0,4,3,2,2.82,9,0,0.66,5,4,42.15,3,3,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0
33,1,2,3,8,0,7,0,2,7,2,0,0,5,4,1.29,2,0,0,2,5,2,2.85,0,9,1.29,6,3,44.1,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
38,1,2,3,9,0,6,0,3,7,0,2,0,6,3,2.06,2,0,0,4,0,4,3.16,6,3,1.16,4,5,60.02,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2,3,3,5,0,5,0,4,7,0,2,0,2,7,1.43,0,2,0,1,1,5,2.49,4,5,0.79,7,2,43.88,4,2,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,11,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0
13,1,4,2,3,2,4,0,3,7,0,2,1,3,6,2.59,6,0,0,3,0,1,3.97,4,5,0.92,5,4,52.88,4,6,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0
31,1,2,4,7,0,2,0,7,9,0,0,0,6,3,1,0,0,0,2,4,4,1.81,9,0,1.16,9,0,32.93,3,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
33,1,4,3,8,0,6,0,3,9,0,0,0,3,6,1,0,0,3,0,6,0,2.28,9,0,1.16,9,0,40.2,3,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
33,2,3,3,8,0,4,2,3,7,0,2,0,2,7,1.16,0,0,2,4,0,3,2.54,0,9,0.82,9,0,34.88,3,3,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,12,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0
13,1,3,2,3,1,7,0,2,7,0,2,1,3,6,2.07,6,0,0,2,0,1,4.65,4,5,1.16,5,4,59.78,5,6,2,0,0,6,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,16,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0
34,2,3,2,8,0,7,0,2,7,2,0,0,4,5,1.16,0,2,0,2,4,2,2.41,2,7,1.42,9,0,46.8,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2,4,3,3,0,4,2,4,8,1,1,1,3,6,1.96,4,0,0,3,3,0,2.95,1,8,0.94,4,5,46.8,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
33,1,3,3,8,0,6,1,2,6,0,3,2,3,5,1.18,1,0,1,4,2,4,2.73,2,7,0.82,7,2,49.73,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
37,1,3,3,8,0,5,0,4,7,2,0,0,3,6,2.19,1,0,0,5,2,2,2.74,8,1,1,5,4,51.1,5,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
40,1,3,3,10,0,3,0,6,9,0,0,0,4,5,1.33,2,0,5,0,2,0,3.33,2,7,1.16,7,2,45.08,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
31,1,4,2,7,0,9,0,0,5,0,4,0,0,9,1,0,0,2,0,3,5,2.84,9,0,0.64,7,2,30,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
33,2,2,3,8,0,7,1,2,5,1,4,4,1,5,1.16,0,0,1,2,6,1,2.52,8,1,0.66,8,1,38.25,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
24,2,2,2,5,1,3,2,4,2,4,3,3,3,3,1.93,2,0,0,5,3,0,3.2,5,4,0.82,9,0,38.25,3,2,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,11,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0
23,1,2,2,5,2,4,2,4,7,1,2,6,0,3,2.03,3,0,0,1,1,5,3.37,6,3,0.92,6,3,39.23,3,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
33,1,4,3,8,1,4,1,5,8,1,1,1,2,7,1.54,3,1,1,2,4,1,3.02,4,5,1.42,7,2,51.23,4,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
38,1,2,3,9,0,5,2,2,4,2,4,4,4,3,1.31,2,1,0,3,2,3,2.45,6,3,0.79,8,1,42.15,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2,4,3,3,0,4,2,4,8,1,1,1,3,6,1.96,4,0,0,3,3,0,2.95,1,8,0.94,4,5,46.8,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
8,1,3,2,2,2,4,1,4,6,1,3,1,4,5,1.8,2,2,0,3,1,3,3.34,6,3,0.92,6,3,43.13,3,7,2,0,0,6,0,0,0,0,0,0,0,4,0,2,0,3,0,0,0,0,4,21,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,6,0
7,1,3,2,2,0,7,2,0,7,2,0,0,6,3,2.15,2,0,0,7,0,0,3.34,0,9,1.16,7,2,43.88,4,6,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,12,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0
41,1,3,3,10,0,7,1,2,8,1,1,1,5,3,1.29,2,0,2,3,2,3,2.74,3,6,1.03,6,3,43.78,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
39,1,3,2,9,0,6,0,3,6,0,3,0,0,9,1.29,2,0,0,2,5,2,2.83,7,2,1.68,6,3,34.8,3,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0
33,2,3,3,8,0,2,3,5,6,3,0,0,3,6,1.04,0,0,0,1,6,3,2.23,3,6,1.29,9,0,45.13,3,3,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,13,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,0
24,1,3,3,5,1,5,1,3,6,1,2,0,0,9,1,2,1,1,2,3,2,2.54,9,0,0.79,7,2,33.9,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
11,1,3,3,3,2,7,0,0,9,0,0,2,3,4,1.55,5,0,0,4,0,1,2.73,1,8,1.16,7,2,45.38,4,6,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,13,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,5,1
8,1,3,3,2,1,4,1,4,6,1,2,2,3,5,1.67,3,1,1,3,2,2,3.29,4,5,1.03,4,5,48.35,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
33,1,2,4,8,0,5,0,4,8,0,1,1,7,2,1.54,2,0,3,2,2,2,2.86,6,3,0.69,7,2,42.2,4,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,1,3,3,1,2,7,0,0,7,1,2,1,3,5,1.42,2,1,0,3,2,3,2.87,0,9,1.03,5,4,43.93,4,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
38,1,3,3,9,0,5,1,3,7,1,2,3,2,5,1.44,2,1,1,2,3,3,1.89,5,4,0.9,7,2,43.1,3,4,2,0,0,6,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,16,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1
36,1,2,4,8,1,5,1,3,6,0,3,4,3,3,1.31,2,1,0,3,3,2,2.25,5,4,0.69,6,3,35.38,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
38,1,4,2,9,0,4,0,5,8,0,1,1,1,8,1.57,1,0,0,2,0,7,2.61,8,1,1.42,8,1,32.93,2,4,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0
39,1,3,3,9,2,4,1,3,8,0,1,1,5,4,1.44,1,0,0,6,1,3,2.57,5,4,0.9,6,3,44.15,4,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
33,2,3,3,8,0,4,0,5,7,0,2,2,1,6,1.16,0,0,0,3,6,0,1.9,4,5,0.9,8,1,35.33,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
33,1,2,4,8,0,2,2,5,7,0,2,0,6,3,1.16,0,0,0,3,4,3,2.32,9,0,1.16,9,0,31.95,3,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
25,1,2,3,6,0,5,1,4,3,2,5,5,3,3,1.54,1,1,0,4,2,3,2.89,7,2,0.79,8,1,38.25,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
20,1,2,3,5,1,4,2,3,6,2,2,2,4,3,1.18,1,0,0,3,2,4,2.15,9,0,1.16,8,1,43.18,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
11,1,2,4,3,0,7,0,2,6,0,3,4,2,4,1.8,4,0,2,0,4,1,3.13,1,8,0.3,7,2,51.1,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0
33,2,3,3,8,0,6,1,3,7,0,2,1,3,6,1.31,1,0,1,3,3,4,2.51,1,8,0.94,8,1,55.58,4,3,2,0,0,6,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,16,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,5,0
39,2,5,2,9,1,5,0,3,7,1,2,0,0,9,1.42,0,0,0,6,3,0,2.84,2,7,1.03,6,3,49.73,4,5,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,12,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0
11,1,1,2,3,0,5,1,4,4,3,2,6,3,1,2.46,2,0,0,4,3,2,2.41,8,1,0.94,9,0,40.2,3,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
12,1,3,2,3,0,6,0,3,7,2,0,1,2,6,1.8,1,0,0,5,2,1,2.57,0,9,1,5,4,47.03,4,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,1
35,1,2,3,8,0,4,4,2,7,2,1,1,7,2,1.29,1,0,2,4,1,4,2.77,7,2,1.04,7,2,38.25,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1,3,3,7,0,4,1,4,6,1,3,1,4,5,1.31,3,0,1,4,1,2,2.87,2,7,0.43,7,2,70.18,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
30,1,2,4,7,0,5,3,2,4,1,4,5,4,1,1.67,1,1,0,5,2,1,2.74,9,0,0.56,5,4,38.25,3,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
36,1,3,3,8,1,4,1,4,6,1,3,2,4,4,1.44,1,1,1,2,4,2,2.35,4,5,0.9,7,2,46.4,3,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
34,1,3,3,8,0,4,0,5,9,0,0,0,5,4,2.06,2,0,0,5,2,1,2.86,2,7,1.42,5,4,78.02,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2,1,1,5,0,2,4,4,2,2,5,5,4,0,1.81,0,0,0,7,0,2,3.1,9,0,0.82,9,0,39.23,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,1,3,3,4,0,0,5,0,2,7,7,2,1,1.81,0,0,0,3,0,6,2.66,8,1,0.17,7,2,48.7,3,6,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0
33,1,4,2,8,0,8,1,0,9,0,0,0,2,7,1.54,3,1,0,4,1,1,3.55,0,9,1.16,6,3,43.88,4,3,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,12,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0
36,1,3,3,8,0,6,1,2,7,1,2,1,4,4,1.18,1,0,1,3,2,4,2.39,5,4,0.9,6,3,41.23,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1,3,3,3,0,6,0,3,6,0,3,2,4,4,2.06,7,0,0,0,2,0,4.44,0,9,1,4,5,46.8,4,6,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,12,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0
36,1,3,4,8,4,3,0,2,6,0,3,3,4,3,1.81,2,0,2,4,0,2,3.07,2,7,1.29,3,6,40.95,4,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
29,1,2,5,7,2,2,2,4,6,0,3,3,4,2,1.04,1,0,0,1,4,5,1.77,9,0,1.03,9,0,36.75,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,3,2,3,0,5,0,4,9,0,0,0,4,5,1.8,2,2,0,4,0,2,3.13,7,2,1.16,6,3,33.9,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
25,1,2,5,6,1,5,2,2,5,1,3,4,5,1,1.7,3,1,0,4,1,2,3.33,6,3,0.92,5,4,44.15,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
32,1,3,4,7,1,5,1,3,8,1,1,2,5,3,1.67,1,1,1,5,3,1,2.52,4,5,0.82,5,4,47.08,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
8,2,3,3,2,0,5,2,3,7,1,2,2,3,5,2.06,4,0,0,4,1,0,3.68,1,8,0.94,6,3,46.8,4,7,2,0,0,6,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,16,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,5,0
11,1,3,2,3,1,4,0,5,6,2,1,2,3,5,2.28,2,0,0,5,1,1,3.44,2,7,1.16,5,4,64.65,6,6,2,0,0,6,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,15,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,0
3,1,3,4,1,0,5,2,2,7,0,2,2,4,4,1.42,1,0,0,3,2,5,2.26,2,7,0.69,8,1,47.03,4,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
38,1,2,3,9,0,4,2,3,5,1,3,2,4,3,1.29,1,0,1,2,2,5,2.38,8,1,0.79,6,3,32.03,3,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
11,1,2,3,3,0,6,1,2,7,1,1,1,8,1,2.54,4,0,0,1,4,0,4.52,9,0,1.04,4,5,46.8,5,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
3,1,2,3,1,3,3,1,4,8,1,0,0,7,2,2.19,6,0,0,1,1,3,4.2,0,9,1,4,5,46.05,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1,3,3,3,1,4,1,5,6,2,1,1,4,5,1.93,1,0,0,6,1,2,3.34,1,8,1.16,8,1,59.08,5,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
